title	type	url_slug	venue	date	location	talk_url	description	pdf_url	cont_title	references
Emergence of Quantum Phases in Novel Materials	Attended	Emergence 2021	Instituto de Ciencia de Materiales de Madrid (ICMM), CSIC	September 2021	Madrid, Spain	https://wp.icmm.csic.es/emergence/	Graduate Summer School focused on the effects of interactions and topology in materials and low-dimensional systems.			
Frontiers in Condensed Matter Physics	Poster	QDev 2022	Niels Bohr Institute, University of Copenhagen	July 2022	Copenhagen, Denmark	https://qdev.nbi.ku.dk/summerschool/qdevnbia-summer-school-2022/	Graduate Summer School that covers selected topics from the frontier of condensed matter, selected by high-profile invited teachers based on their ongoing research.	https://carlosp24.github.io/files/Poster2023_04.pdf	Theory of Caroli-de Gennes-Matricon analogs in full-shell hybrid nanowires	
YouMat2023	Poster	YouMat 2023	Instituto de Ciencia de Materiales de Madrid (ICMM), CSIC	May 2023	Madrid, Spain	https://www.icmm.csic.es/es/icmm/i-seminario-de-jovenes-investigadores-en-materiales-youmat23	First Seminar for young Materials Researchers at ICMM.	https://carlosp24.github.io/files/Poster2023_04.pdf	Theory of Caroli-de Gennes-Matricon analogs in full-shell hybrid nanowires	
QuantumMatter 2023	Poster	QuantumMatter 2023	Phantoms Foundation	May 2023	Madrid, Spain	https://www.quantumconf.eu/2023/	International Conference aiming to gather the various communities engaged in the science and technologies of quantum information and quantum matter.	https://carlosp24.github.io/files/Poster2023_04.pdf	Theory of Caroli-de Gennes-Matricon analogs in full-shell hybrid nanowires	
Bound States in Superconducting Nanodevices	Poster	Bound States 2023	TopSquad and AndQC collaborations	June 2023	Budapest, Hungary	https://www.boundstates2023.eu/	Workshop on Andreev and Majorana bound states in nanoscale solid-state devices.	https://carlosp24.github.io/files/Poster2023_04.pdf	Theory of Caroli-de Gennes-Matricon analogs in full-shell hybrid nanowires	
Emergence of Quantum Phases in Novel Materials	Poster	Emergence 2023	Instituto de Ciencia de Materiales de Madrid (ICMM), CSIC	September 2023	Madrid, Spain	https://wp.icmm.csic.es/emergence/	Graduate Summer School focused on the effects of interactions and topology in materials and low-dimensional systems.	https://carlosp24.github.io/files/Poster2023_09.pdf	Majorana zero modes in full-shell hybrid nanowires	
Workshop on Superconductor-Semiconductor Hybrids	Attended	Copenhagen 2024	Niels Bohr Institute, University of Copenhagen	March 2024	Copenhagen, Denmark	https://qdev.nbi.ku.dk/	Workshop sponsored by the ERC Synergy grant NONLOCAL.			
European School on Superconductivity and Magnetism in Quantum Materials	Poster	SuperQmap 2024	SuperQmap COST action	April 2024	Gandía, Spain	https://superqumap.eu/european-school-on-superconductivity-and-magnetism-in-quantum-materials/	Interdisciplinary Graduate School on the foundations and latest depelopments of superconductivity and magnetism in quantum materials, both theoretical and experimental.	https://carlosp24.github.io/files/Poster2024_04.pdf	Phenomenology of Majorana zero modes in full-shell hybrid nanowires	
Quantum matter for Quantum Technologies Workshop	Poster	Spice 2024	SPICE	May 2024	Mainz, Germany	https://www.spice.uni-mainz.de/qmqt-home/		https://carlosp24.github.io/files/Poster2024_04.pdf	Phenomenology of Majorana zero modes in full-shell hybrid nanowires	
Condensed Matter PhD Program Anual Meeting	Contributed	PhD Meeting 2024	Facultad de Ciencias, Universidad Autónoma de Madrid (UAM)	May 2024	Madrid, Spain	http://doctorate-nanobio-uam.es/	Anual Condensed Matter Physics PhD Program meeting for PhD candidates in the topic at UAM	https://carlosp24.github.io/files/talk_phenomenology_202405.pdf	Phenomenology of Majorana zero modes in full-shell hybrid nanowires	
QTYR24	Contributed	QTYR 2024	PhD and Young Scientists in Quantum Technologies Network (PYSQT)	July 2024	Madrid, Spain	https://www.benasque.org/2024qtyr/	QTYR24, the Quantum Technologies for Young Researchers workshop, is a conference designed specifically for scientists in the early stages of their careers working in various branches of Quantum Science.	https://carlosp24.github.io/files/talk_phenomenology_qtyr24.pdf	Phenomenology of Majorana zero modes in full-shell hybrid nanowires	
Quantum Designer 2024	Poster	Quantum Designer 2024	Donostia International Physics Center (DIPC)	July 2024	San Sebastián, Spain	https://qdp2024.dipc.org/	4th International Workshop on the most recent advances in material systems designed for studying the most intriguing physical phenomena at the nanoscale.	https://carlosp24.github.io/files/Poster2024_04.pdf	Phenomenology of Majorana zero modes in full-shell hybrid nanowires	
APS Global Physics Summit 2025	Contributed	March Meeting 2025	American Physical Society	March 2025	Anaheim, CA, US	https://summit.aps.org/events/MAR-J41/2	Joint March Meeting and April Meeting	https://carlosp24.github.io/files/talk_Josephson_MM25.pdf	Josephson effect and critical currents in topological full-shell hybrid nanowires	
GRC on Hybrid Superconductor-Semiconductor Devices	Poster	GRC Hybrids 2025	Gordon Research Conferences	April 2025	Les Diablerets, Switzerland	https://www.grc.org/hybrid-superconductor-semiconductor-devices-conference/2025/	On the latest advances in hybrid superconductor-semiconductor technologies	https://carlosp24.github.io/files/Poster2025_04.pdf	Josephson effect in topological full-shell hybrid nanowires	refs-poster-Josephson
Workshop on Superconductor-Semiconductor Hybrids	Poster	Copenhagen 2025	Niels Bohr Institute, University of Copenhagen	June 2025	Copenhagen, Denmark	https://qdev.nbi.ku.dk/calender/workshop-on-superconductor-semiconductor-hybrids-2025/	Workshop sponsored by the ERC Synergy grant NONLOCAL.	https://carlosp24.github.io/files/Poster2025_04.pdf	Josephson effect in topological full-shell hybrid nanowires	refs-poster-Josephson
